Year,Month_Id,Month,Continent,Region,Country,Tourist_Arrivals
2021,1,January,Americas,North America,Canada,17
2021,1,January,Americas,North America,Mexico,0
2021,1,January,Americas,North America,United States,10
2021,1,January,Americas,Caribbean & Central America,Costa Rica,0
2021,1,January,Americas,Caribbean & Central America,Jamaica,0
2021,1,January,Americas,Caribbean & Central America,Others,0
2021,1,January,Americas,South America,Argentina,0
2021,1,January,Americas,South America,Brazil,0
2021,1,January,Americas,South America,Chile,0
2021,1,January,Americas,South America,Colombia,0
2021,1,January,Americas,South America,Others,0
2021,1,January,Africa,North Africa,Morocco,0
2021,1,January,Africa,North Africa,Sudan,0
2021,1,January,Africa,North Africa,Others,0
2021,1,January,Africa,Sub-Saharan Africa,Kenya,0
2021,1,January,Africa,Sub-Saharan Africa,Mauritius,0
2021,1,January,Africa,Sub-Saharan Africa,Nigeria,0
2021,1,January,Africa,Sub-Saharan Africa,South Africa,0
2021,1,January,Africa,Sub-Saharan Africa,Others,0
2021,1,January,Asia & Pacific,North East Asia,China,27
2021,1,January,Asia & Pacific,North East Asia,Japan,1
2021,1,January,Asia & Pacific,North East Asia,South Korea,0
2021,1,January,Asia & Pacific,North East Asia,Taiwan,0
2021,1,January,Asia & Pacific,North East Asia,Others,0
2021,1,January,Asia & Pacific,South East Asia,Cambodia,0
2021,1,January,Asia & Pacific,South East Asia,Indonesia,3
2021,1,January,Asia & Pacific,South East Asia,Malaysia,1
2021,1,January,Asia & Pacific,South East Asia,Myanmar,1
2021,1,January,Asia & Pacific,South East Asia,Philippines,6
2021,1,January,Asia & Pacific,South East Asia,Singapore,1
2021,1,January,Asia & Pacific,South East Asia,Thailand,0
2021,1,January,Asia & Pacific,South East Asia,Vietnam,0
2021,1,January,Asia & Pacific,South East Asia,Others,0
2021,1,January,Asia & Pacific,Oceania,Australia,3
2021,1,January,Asia & Pacific,Oceania,New Zealand,3
2021,1,January,Asia & Pacific,Oceania,Others,0
2021,1,January,Asia & Pacific,South Asia,Afghanistan,0
2021,1,January,Asia & Pacific,South Asia,Bangladesh,0
2021,1,January,Asia & Pacific,South Asia,Bhutan,0
2021,1,January,Asia & Pacific,South Asia,India,17
2021,1,January,Asia & Pacific,South Asia,Iran,0
2021,1,January,Asia & Pacific,South Asia,Maldives,17
2021,1,January,Asia & Pacific,South Asia,Nepal,0
2021,1,January,Asia & Pacific,South Asia,Pakistan,0
2021,1,January,Europe,Northern Europe,Denmark,0
2021,1,January,Europe,Northern Europe,Finland,0
2021,1,January,Europe,Northern Europe,Norway,0
2021,1,January,Europe,Northern Europe,Sweden,0
2021,1,January,Europe,Northern Europe,United Kingdom,3
2021,1,January,Europe,Northern Europe,Others,0
2021,1,January,Europe,Western Europe,Austria,5
2021,1,January,Europe,Western Europe,Belgium,0
2021,1,January,Europe,Western Europe,France,4
2021,1,January,Europe,Western Europe,Germany,19
2021,1,January,Europe,Western Europe,Netherlands,18
2021,1,January,Europe,Western Europe,Switzerland,3
2021,1,January,Europe,Western Europe,Others,0
2021,1,January,Europe,Central / Eastern Europe,Belarus,0
2021,1,January,Europe,Central / Eastern Europe,Czech Republic,0
2021,1,January,Europe,Central / Eastern Europe,Estonia,0
2021,1,January,Europe,Central / Eastern Europe,Hungary,0
2021,1,January,Europe,Central / Eastern Europe,Kazakhstan,1
2021,1,January,Europe,Central / Eastern Europe,Lithuania,0
2021,1,January,Europe,Central / Eastern Europe,Poland,0
2021,1,January,Europe,Central / Eastern Europe,Romania,0
2021,1,January,Europe,Central / Eastern Europe,Russian Federation,20
2021,1,January,Europe,Central / Eastern Europe,Slovakia,0
2021,1,January,Europe,Central / Eastern Europe,Ukraine,1460
2021,1,January,Europe,Central / Eastern Europe,Others,39
2021,1,January,Europe,Southern / Mediterranean Europe,Greece,0
2021,1,January,Europe,Southern / Mediterranean Europe,Italy,2
2021,1,January,Europe,Southern / Mediterranean Europe,Portugal,0
2021,1,January,Europe,Southern / Mediterranean Europe,Spain,0
2021,1,January,Europe,Southern / Mediterranean Europe,Turkey,1
2021,1,January,Europe,Southern / Mediterranean Europe,Israel,0
2021,1,January,Europe,Southern / Mediterranean Europe,Others,0
2021,1,January,Middle East,Middle East,Bahrain,0
2021,1,January,Middle East,Middle East,Egypt,0
2021,1,January,Middle East,Middle East,Iraq,0
2021,1,January,Middle East,Middle East,Jordan,0
2021,1,January,Middle East,Middle East,Kuwait,0
2021,1,January,Middle East,Middle East,Lebanon,0
2021,1,January,Middle East,Middle East,Oman,0
2021,1,January,Middle East,Middle East,Qatar,0
2021,1,January,Middle East,Middle East,Saudi Arabia,0
2021,1,January,Middle East,Middle East,United Arab Emirates,0
2021,1,January,Middle East,Middle East,Others,0
2020,1,January,Americas,North America,Canada,"5,510"
2020,1,January,Americas,North America,Mexico,138
2020,1,January,Americas,North America,United States,"7,494"
2020,1,January,Americas,Caribbean & Central America,Costa Rica,9
2020,1,January,Americas,Caribbean & Central America,Jamaica,7
2020,1,January,Americas,Caribbean & Central America,Others,64
2020,1,January,Americas,South America,Argentina,224
2020,1,January,Americas,South America,Brazil,467
2020,1,January,Americas,South America,Chile,128
2020,1,January,Americas,South America,Colombia,88
2020,1,January,Americas,South America,Others,95
2020,1,January,Africa,North Africa,Morocco,125
2020,1,January,Africa,North Africa,Sudan,67
2020,1,January,Africa,North Africa,Others,114
2020,1,January,Africa,Sub-Saharan Africa,Kenya,45
2020,1,January,Africa,Sub-Saharan Africa,Mauritius,107
2020,1,January,Africa,Sub-Saharan Africa,Nigeria,12
2020,1,January,Africa,Sub-Saharan Africa,South Africa,686
2020,1,January,Africa,Sub-Saharan Africa,Others,141
2020,1,January,Asia & Pacific,North East Asia,China,"22,363"
2020,1,January,Asia & Pacific,North East Asia,Japan,"2,917"
2020,1,January,Asia & Pacific,North East Asia,South Korea,"1,577"
2020,1,January,Asia & Pacific,North East Asia,Taiwan,"1,296"
2020,1,January,Asia & Pacific,North East Asia,Others,28
2020,1,January,Asia & Pacific,South East Asia,Cambodia,146
2020,1,January,Asia & Pacific,South East Asia,Indonesia,401
2020,1,January,Asia & Pacific,South East Asia,Malaysia,"1,399"
2020,1,January,Asia & Pacific,South East Asia,Myanmar,190
2020,1,January,Asia & Pacific,South East Asia,Philippines,"1,199"
2020,1,January,Asia & Pacific,South East Asia,Singapore,"1,214"
2020,1,January,Asia & Pacific,South East Asia,Thailand,736
2020,1,January,Asia & Pacific,South East Asia,Vietnam,287
2020,1,January,Asia & Pacific,South East Asia,Others,12
2020,1,January,Asia & Pacific,Oceania,Australia,"8,115"
2020,1,January,Asia & Pacific,Oceania,New Zealand,"1,035"
2020,1,January,Asia & Pacific,Oceania,Others,42
2020,1,January,Asia & Pacific,South Asia,Afghanistan,65
2020,1,January,Asia & Pacific,South Asia,Bangladesh,"1,014"
2020,1,January,Asia & Pacific,South Asia,Bhutan,137
2020,1,January,Asia & Pacific,South Asia,India,"41,448"
2020,1,January,Asia & Pacific,South Asia,Iran,330
2020,1,January,Asia & Pacific,South Asia,Maldives,"4,264"
2020,1,January,Asia & Pacific,South Asia,Nepal,589
2020,1,January,Asia & Pacific,South Asia,Pakistan,"1,397"
2020,1,January,Europe,Northern Europe,Denmark,"2,176"
2020,1,January,Europe,Northern Europe,Finland,986
2020,1,January,Europe,Northern Europe,Norway,"1,379"
2020,1,January,Europe,Northern Europe,Sweden,"3,099"
2020,1,January,Europe,Northern Europe,United Kingdom,"21,138"
2020,1,January,Europe,Northern Europe,Others,996
2020,1,January,Europe,Western Europe,Austria,"1,674"
2020,1,January,Europe,Western Europe,Belgium,"1,243"
2020,1,January,Europe,Western Europe,France,"9,352"
2020,1,January,Europe,Western Europe,Germany,"11,494"
2020,1,January,Europe,Western Europe,Netherlands,"3,538"
2020,1,January,Europe,Western Europe,Switzerland,"2,508"
2020,1,January,Europe,Western Europe,Others,61
2020,1,January,Europe,Central / Eastern Europe,Belarus,"1,099"
2020,1,January,Europe,Central / Eastern Europe,Czech Republic,"2,673"
2020,1,January,Europe,Central / Eastern Europe,Estonia,394
2020,1,January,Europe,Central / Eastern Europe,Hungary,758
2020,1,January,Europe,Central / Eastern Europe,Kazakhstan,"1,182"
2020,1,January,Europe,Central / Eastern Europe,Lithuania,514
2020,1,January,Europe,Central / Eastern Europe,Poland,"5,577"
2020,1,January,Europe,Central / Eastern Europe,Romania,785
2020,1,January,Europe,Central / Eastern Europe,Russian Federation,"19,616"
2020,1,January,Europe,Central / Eastern Europe,Slovakia,539
2020,1,January,Europe,Central / Eastern Europe,Ukraine,"8,549"
2020,1,January,Europe,Central / Eastern Europe,Others,"1,197"
2020,1,January,Europe,Southern / Mediterranean Europe,Greece,598
2020,1,January,Europe,Southern / Mediterranean Europe,Italy,"4,454"
2020,1,January,Europe,Southern / Mediterranean Europe,Portugal,568
2020,1,January,Europe,Southern / Mediterranean Europe,Spain,"1,509"
2020,1,January,Europe,Southern / Mediterranean Europe,Turkey,"1,145"
2020,1,January,Europe,Southern / Mediterranean Europe,Israel,"1,688"
2020,1,January,Europe,Southern / Mediterranean Europe,Others,"1,112"
2020,1,January,Middle East,Middle East,Bahrain,404
2020,1,January,Middle East,Middle East,Egypt,404
2020,1,January,Middle East,Middle East,Iraq,71
2020,1,January,Middle East,Middle East,Jordan,361
2020,1,January,Middle East,Middle East,Kuwait,465
2020,1,January,Middle East,Middle East,Lebanon,212
2020,1,January,Middle East,Middle East,Oman,768
2020,1,January,Middle East,Middle East,Qatar,69
2020,1,January,Middle East,Middle East,Saudi Arabia,"3,914"
2020,1,January,Middle East,Middle East,United Arab Emirates,199
2020,1,January,Middle East,Middle East,Others,244
2021,2,February,Americas,North America,Canada,71
2021,2,February,Americas,North America,Mexico,3
2021,2,February,Americas,North America,United States,75
2021,2,February,Americas,Caribbean & Central America,Costa Rica,0
2021,2,February,Americas,Caribbean & Central America,Jamaica,0
2021,2,February,Americas,Caribbean & Central America,Others,4
2021,2,February,Americas,South America,Argentina,0
2021,2,February,Americas,South America,Brazil,3
2021,2,February,Americas,South America,Chile,1
2021,2,February,Americas,South America,Colombia,2
2021,2,February,Americas,South America,Others,0
2021,2,February,Africa,North Africa,Morocco,1
2021,2,February,Africa,North Africa,Sudan,1
2021,2,February,Africa,North Africa,Others,0
2021,2,February,Africa,Sub-Saharan Africa,Kenya,0
2021,2,February,Africa,Sub-Saharan Africa,Mauritius,1
2021,2,February,Africa,Sub-Saharan Africa,Nigeria,0
2021,2,February,Africa,Sub-Saharan Africa,South Africa,1
2021,2,February,Africa,Sub-Saharan Africa,Others,2
2021,2,February,Asia & Pacific,North East Asia,China,117
2021,2,February,Asia & Pacific,North East Asia,Japan,9
2021,2,February,Asia & Pacific,North East Asia,South Korea,5
2021,2,February,Asia & Pacific,North East Asia,Taiwan,0
2021,2,February,Asia & Pacific,North East Asia,Others,0
2021,2,February,Asia & Pacific,South East Asia,Cambodia,0
2021,2,February,Asia & Pacific,South East Asia,Indonesia,5
2021,2,February,Asia & Pacific,South East Asia,Malaysia,3
2021,2,February,Asia & Pacific,South East Asia,Myanmar,4
2021,2,February,Asia & Pacific,South East Asia,Philippines,15
2021,2,February,Asia & Pacific,South East Asia,Singapore,0
2021,2,February,Asia & Pacific,South East Asia,Thailand,2
2021,2,February,Asia & Pacific,South East Asia,Vietnam,0
2021,2,February,Asia & Pacific,South East Asia,Others,0
2021,2,February,Asia & Pacific,Oceania,Australia,24
