Year,Month,Tourist_Arrivals
1977,1,17569
1977,2,18064
1977,3,18216
1977,4,9891
1977,5,7602
1977,6,5536
1977,7,9881
1977,8,11129
1977,9,7594
1977,10,11541
1977,11,17106
1977,12,19536
1978,1,23114
1978,2,22422
1978,3,20406
1978,4,11546
1978,5,8803
1978,6,8135
1978,7,13252
1978,8,15530
1978,9,10245
1978,10,14342
1978,11,20758
1978,12,24934
1979,1,28366
1979,2,25226
1979,3,25472
1979,4,18847
1979,5,13042
1979,6,10674
1979,7,16801
1979,8,20203
1979,9,14798
1979,10,19376
1979,11,25743
1979,12,31616
1980,1,31616
1980,2,33896
1980,3,34416
1980,4,21806
1980,5,19468
1980,6,15082
1980,7,22986
1980,8,27440
1980,9,19962
1980,10,23646
1980,11,28988
1980,12,37982
1981,1,45168
1981,2,39384
1981,3,38376
1981,4,28568
1981,5,21642
1981,6,16836
1981,7,28266
1981,8,32788
1981,9,24086
1981,10,27030
1981,11,29512
1981,12,39087
1982,1,40932
1982,2,40148
1982,3,42178
1982,4,29606
1982,5,28972
1982,6,25772
1982,7,30942
1982,8,34332
1982,9,29754
1982,10,30296
1982,11,33748
1982,12,40550
1983,1,49104
1983,2,44018
1983,3,44710
1983,4,32556
1983,5,32860
1983,6,24344
1983,7,25114
1983,8,8430
1983,9,9986
1983,10,16306
1983,11,20570
1983,12,29344
1984,1,33546
1984,2,32406
1984,3,32628
1984,4,23684
1984,5,18224
1984,6,17866
1984,7,26694
1984,8,27626
1984,9,21764
1984,10,25800
1984,11,27906
1984,12,29590
1985,1,28814
1985,2,27012
1985,3,29886
1985,4,19778
1985,5,14014
1985,6,11092
1985,7,18362
1985,8,20138
1985,9,15242
1985,10,18176
1985,11,23218
1985,12,31724
1986,1,32890
1986,2,30512
1986,3,28932
1986,4,19262
1986,5,13100
1986,6,9536
1986,7,12330
1986,8,15190
1986,9,12398
1986,10,12732
1986,11,18114
1986,12,25110
1987,1,25446
1987,2,23714
1987,3,22838
1987,4,16238
1987,5,8204
1987,6,7650
1987,7,10200
1987,8,11408
1987,9,10072
1987,10,12146
1987,11,14188
1987,12,20516
1988,1,20400
1988,2,19150
1988,3,19430
1988,4,13834
1988,5,11124
1988,6,11540
1988,7,17660
1988,8,18670
1988,9,14980
1988,10,16742
1988,11,10560
1988,12,8572
1989,1,12962
1989,2,12344
1989,3,16032
1989,4,12312
1989,5,12750
1989,6,11630
1989,7,15194
1989,8,17220
1989,9,14264
1989,10,15050
1989,11,18948
1989,12,26026
1990,1,26592
1990,2,26368
1990,3,26946
1990,4,22788
1990,5,18286
1990,6,18050
1990,7,26410
1990,8,26786
1990,9,22438
1990,10,23060
1990,11,24596
1990,12,35568
1991,1,28932
1991,2,28080
1991,3,27153
1991,4,20541
1991,5,17745
1991,6,17394
1991,7,30645
1991,8,28824
1991,9,24762
1991,10,25173
1991,11,28272
1991,12,40182
1992,1,35730
1992,2,38859
1992,3,33399
1992,4,28410
1992,5,21024
1992,6,23157
1992,7,33771
1992,8,40143
1992,9,29856
1992,10,32076
1992,11,35967
1992,12,41292
1993,1,42726
1993,2,40116
1993,3,37953
1993,4,29589
1993,5,22368
1993,6,20412
1993,7,32904
1993,8,32796
1993,9,27495
1993,10,30621
1993,11,35103
1993,12,40167
1994,1,45402
1994,2,41067
1994,3,41277
1994,4,28080
1994,5,21277
1994,6,21399
1994,7,35370
1994,8,32817
1994,9,31062
1994,10,33216
1994,11,33306
1994,12,42738
1995,1,45987
1995,2,42591
1995,3,40074
1995,4,33756
1995,5,24672
1995,6,22416
1995,7,35994
1995,8,35814
1995,9,30828
1995,10,30603
1995,11,28365
1995,12,32001
1996,1,30957
1996,2,29550
1996,3,26442
1996,4,20376
1996,5,17655
1996,6,19668
1996,7,25380
1996,8,24765
1996,9,23211
1996,10,23511
1996,11,24921
1996,12,35829
1997,1,32652
1997,2,35010
1997,3,34098
1997,4,26907
1997,5,22407
1997,6,23160
1997,7,30867
1997,8,32034
1997,9,29793
1997,10,28314
1997,11,31995
1997,12,38928
1998,1,37224
1998,2,35283
1998,3,32256
1998,4,25578
1998,5,20394
1998,6,22410
1998,7,29529
1998,8,31446
1998,9,31600
1998,10,31767
1998,11,38421
1998,12,45102
1999,1,44379
1999,2,41526
1999,3,41022
1999,4,34443
1999,5,25212
1999,6,26184
1999,7,33288
1999,8,39081
1999,9,33915
1999,10,35112
1999,11,41952
1999,12,40326
2000,1,43311
2000,2,43287
2000,3,40110
2000,4,38642
2000,5,23404
2000,6,21825
2000,7,33267
2000,8,34422
2000,9,31035
2000,10,26658
2000,11,32469
2000,12,36984
2001,1,25577
2001,2,46575
