Year,Month,Tourist_Arrivals
1977,January,17569
1977,February,18064
1977,March,18216
1977,April,9891
1977,May,7602
1977,June,5536
1977,July,9881
1977,August,11129
1977,September,7594
1977,October,11541
1977,November,17106
1977,December,19536
1978,January,23114
1978,February,22422
1978,March,20406
1978,April,11546
1978,May,8803
1978,June,8135
1978,July,13252
1978,August,15530
1978,September,10245
1978,October,14342
1978,November,20758
1978,December,24934
1979,January,28366
1979,February,25226
1979,March,25472
1979,April,18847
1979,May,13042
1979,June,10674
1979,July,16801
1979,August,20203
1979,September,14798
1979,October,19376
1979,November,25743
1979,December,31616
1980,January,31616
1980,February,33896
1980,March,34416
1980,April,21806
1980,May,19468
1980,June,15082
1980,July,22986
1980,August,27440
1980,September,19962
1980,October,23646
1980,November,28988
1980,December,37982
1981,January,45168
1981,February,39384
1981,March,38376
1981,April,28568
1981,May,21642
1981,June,16836
1981,July,28266
1981,August,32788
1981,September,24086
1981,October,27030
1981,November,29512
1981,December,39087
1982,January,40932
1982,February,40148
1982,March,42178
1982,April,29606
1982,May,28972
1982,June,25772
1982,July,30942
1982,August,34332
1982,September,29754
1982,October,30296
1982,November,33748
1982,December,40550
1983,January,49104
1983,February,44018
1983,March,44710
1983,April,32556
1983,May,32860
1983,June,24344
1983,July,25114
1983,August,8430
1983,September,9986
1983,October,16306
1983,November,20570
1983,December,29344
1984,January,33546
1984,February,32406
1984,March,32628
1984,April,23684
1984,May,18224
1984,June,17866
1984,July,26694
1984,August,27626
1984,September,21764
1984,October,25800
1984,November,27906
1984,December,29590
1985,January,28814
1985,February,27012
1985,March,29886
1985,April,19778
1985,May,14014
1985,June,11092
1985,July,18362
1985,August,20138
1985,September,15242
1985,October,18176
1985,November,23218
1985,December,31724
1986,January,32890
1986,February,30512
1986,March,28932
1986,April,19262
1986,May,13100
1986,June,9536
1986,July,12330
1986,August,15190
1986,September,12398
1986,October,12732
1986,November,18114
1986,December,25110
1987,January,25446
1987,February,23714
1987,March,22838
1987,April,16238
1987,May,8204
1987,June,7650
1987,July,10200
1987,August,11408
1987,September,10072
1987,October,12146
1987,November,14188
1987,December,20516
1988,January,20400
1988,February,19150
1988,March,19430
1988,April,13834
1988,May,11124
1988,June,11540
1988,July,17660
1988,August,18670
1988,September,14980
1988,October,16742
1988,November,10560
1988,December,8572
1989,January,12962
1989,February,12344
1989,March,16032
1989,April,12312
1989,May,12750
1989,June,11630
1989,July,15194
1989,August,17220
1989,September,14264
1989,October,15050
1989,November,18948
1989,December,26026
1990,January,26592
1990,February,26368
1990,March,26946
1990,April,22788
1990,May,18286
1990,June,18050
1990,July,26410
1990,August,26786
1990,September,22438
1990,October,23060
1990,November,24596
1990,December,35568
1991,January,28932
1991,February,28080
1991,March,27153
1991,April,20541
1991,May,17745
1991,June,17394
1991,July,30645
1991,August,28824
1991,September,24762
1991,October,25173
1991,November,28272
1991,December,40182
1992,January,35730
1992,February,38859
1992,March,33399
1992,April,28410
1992,May,21024
1992,June,23157
1992,July,33771
1992,August,40143
1992,September,29856
1992,October,32076
1992,November,35967
1992,December,41292
1993,January,42726
1993,February,40116
1993,March,37953
1993,April,29589
1993,May,22368
1993,June,20412
1993,July,32904
1993,August,32796
1993,September,27495
1993,October,30621
1993,November,35103
1993,December,40167
1994,January,45402
1994,February,41067
1994,March,41277
1994,April,28080
1994,May,21277
1994,June,21399
1994,July,35370
1994,August,32817
1994,September,31062
1994,October,33216
1994,November,33306
1994,December,42738
1995,January,45987
1995,February,42591
1995,March,40074
1995,April,33756
1995,May,24672
1995,June,22416
1995,July,35994
1995,August,35814
1995,September,30828
1995,October,30603
1995,November,28365
1995,December,32001
1996,January,30957
1996,February,29550
1996,March,26442
1996,April,20376
1996,May,17655
1996,June,19668
1996,July,25380
1996,August,24765
1996,September,23211
1996,October,23511
1996,November,24921
1996,December,35829
1997,January,32652
1997,February,35010
1997,March,34098
1997,April,26907
1997,May,22407
1997,June,23160
1997,July,30867
1997,August,32034
1997,September,29793
1997,October,28314
1997,November,31995
1997,December,38928
1998,January,37224
1998,February,35283
1998,March,32256
1998,April,25578
1998,May,20394
1998,June,22410
1998,July,29529
1998,August,31446
1998,September,31600
1998,October,31767
1998,November,38421
1998,December,45102
1999,January,44379
1999,February,41526
1999,March,41022
1999,April,34443
1999,May,25212
1999,June,26184
1999,July,33288
1999,August,39081
1999,September,33915
1999,October,35112
1999,November,41952
1999,December,40326
2000,January,43311
2000,February,43287
2000,March,40110
2000,April,38642
2000,May,23404
2000,June,21825
2000,July,33267
2000,August,34422
2000,September,31035
2000,October,26658
2000,November,32469
2000,December,36984
2001,January,25577
2001,February,46575
2001,March,44290
2001,April,36906
2001,May,26924
2001,June,28323
2001,July,28566
2001,August,15717
2001,September,11758
2001,October,12904
2001,November,17344
2001,December,23300
2002,January,28296
2002,February,31683
2002,March,33084
2002,April,27057
2002,May,26661
2002,June,26355
2002,July,35742
2002,August,35475
2002,September,32982
2002,October,36258
2002,November,37395
2002,December,42183
2003,January,40647
2003,February,39081
2003,March,40818
2003,April,33714
2003,May,30048
2003,June,31836
2003,July,43743
2003,August,42111
2003,September,36054
2003,October,49922
2003,November,54946
2003,December,57722
2004,January,49950
2004,February,43584
2004,March,38418
2004,April,30672
2004,May,30162
2004,June,32119
2004,July,50525
2004,August,48675
2004,September,51525
2004,October,59442
2004,November,64971
2004,December,66159
2005,January,38190
2005,February,36645
2005,March,50418
2005,April,42261
2005,May,40878
2005,June,45699
2005,July,56745
2005,August,51216
2005,September,43536
2005,October,44095
2005,November,48457
2005,December,51171
2006,January,52103
2006,February,52687
2006,March,54746
2006,April,49776
2006,May,43825
2006,June,44066
2006,July,55354
2006,August,52931
2006,September,38485
2006,October,38815
2006,November,37591
2006,December,39224
2007,January,56553
2007,February,43051
2007,March,35031
2007,April,33039
2007,May,26307
2007,June,30810
2007,July,44142
2007,August,44742
2007,September,37104
2007,October,37011
2007,November,45102
2007,December,61116
2008,January,56916
2008,February,40551
2008,March,38049
2008,April,29747
2008,May,31140
2008,June,27960
2008,July,32982
2008,August,30672
2008,September,29529
2008,October,35103
2008,November,36901
2008,December,48925
2009,January,38468
2009,February,34169
2009,March,34065
2009,April,26054
2009,May,24739
2009,June,30234
2009,July,42223
2009,August,41207
2009,September,37983
2009,October,37575
2009,November,44311
2009,December,56862
2010,January,50757
2010,February,57300
2010,March,52352
2010,April,38300
2010,May,35213
2010,June,44730
2010,July,63339
2010,August,55898
2010,September,47339
2010,October,52370
2010,November,72251
2010,December,84627
2011,January,74197
2011,February,65797
2011,March,75130
2011,April,63835
2011,May,48943
2011,June,53636
2011,July,83786
2011,August,72463
2011,September,60219
2011,October,69563
2011,November,90889
2011,December,97517
2012,January,85874
2012,February,83549
2012,March,91102
2012,April,69591
2012,May,57506
2012,June,65245
2012,July,90338
2012,August,79456
2012,September,71111
2012,October,80379
2012,November,109202
